Month,Previous_Year_Apparel,Current_Year_Apparel,Percent_Change,CPI Apparel
Jan,25.778,26.623,3.30%,0.40%
Feb,26.118,25.676,-1.70%,0.60%
Mar,24.241,25.966,7.10%,0.30%
Apr,24.923,26.02,4.40%,-0.70%
May,25.212,26.156,3.74%,-0.90%
June,25.247,26.529,5.08%,-0.90%
Jul,25.279,26.978,6.72%,-0.20%
Aug,24.957,27.24,9.15%,-0.20%
Sep,25.356,27.043,6.65%,-0.10%
Oct,25.52,27.298,6.97%,
Nov,25.483,27.393,7.50%,0.20%
Dec,25.89,27.2,5.06%,0.60%
Jan,25.944,26.732,3.04%,1.70%
Feb,25.68,27.541,7.25%,2.50%
